query,engine,region,rank_observed,competitor_url,domain,page_type,rating_reviews_in_snippet,phone_in_snippet,savage_present,snapshot_date,notes
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),1,https://marketing-tech.ru/sankt-peterburg,marketing-tech.ru,directory,,,no,2026-09-08,608 companies listed
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),2,https://madmen-production.ru,madmen-production.ru,homepage,,,no,2026-09-08,
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),3,https://uniproject.top/video-prodakshn,uniproject.top,service page,,,no,2026-09-08,
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),4,https://eafilms.ru,eafilms.ru,homepage,,,no,2026-09-08,seed competitor confirmed
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),5,https://www.goodproduction.pro,goodproduction.pro,homepage,,,no,2026-09-08,price qualifier from 150k RUB in snippet
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),local pack,,PiterPro_digital,GBP local,"5,0 (10)",8 (812) 942-11-18,no,2026-09-08,
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),local pack,,Петербург Видео Продакшн,GBP local,"5,0 (1)",8 (951) 675-89-47,no,2026-09-08,
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),local pack,,EA Films,GBP local,no reviews,8 (921) 909-41-59,no,2026-09-08,
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),6,https://marketing-tech.ru/agentstva-prodakshn,marketing-tech.ru,directory,,,no,2026-09-08,revenue ranking ARTW/МК Медиа/Adsup.me/FLYFILM
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),7,https://stoletproduction.ru,stoletproduction.ru,homepage,,,no,2026-09-08,
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),8,https://videoroom.pro,videoroom.pro,homepage,,"+7 (921) 399-95-96",no,2026-09-08,street address in snippet: Фурштатская 9
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),9,https://www.teplicaproduction.ru,teplicaproduction.ru,homepage,,,no,2026-09-08,
видеопродакшн спб,Google,SPb (gl=ru; geo not detected),10,https://www.growupfilms.ru,growupfilms.ru,homepage,,,no,2026-09-08,
рекламный ролик спб,Google,SPb (gl=ru),1,https://spb.seotemple.ru,spb.seotemple.ru,service page,"5,0 (28)",,no,2026-09-08,
рекламный ролик спб,Google,SPb (gl=ru),2,https://kurban.studio/reklama,kurban.studio,service page,,,no,2026-09-08,seed competitor confirmed
рекламный ролик спб,Google,SPb (gl=ru),3,https://www.teplicaproduction.ru/videoreklama,teplicaproduction.ru,service page,,,no,2026-09-08,
рекламный ролик спб,Google,SPb (gl=ru),4,https://profi.ru,profi.ru,marketplace,"4,9 (41)",,no,2026-09-08,from 4040 RUB
рекламный ролик спб,Google,SPb (gl=ru),5,https://feelproduction.ru,feelproduction.ru,homepage,,,no,2026-09-08,
рекламный ролик спб,Google,SPb (gl=ru),6,https://marketing-tech.ru/sankt-peterburg,marketing-tech.ru,directory,,,no,2026-09-08,
рекламный ролик спб,Google,SPb (gl=ru),7,https://videospb.ucoz.ru,videospb.ucoz.ru,service page,,,no,2026-09-08,
рекламный ролик спб,Google,SPb (gl=ru),8,https://studionumberone.ru,studionumberone.ru,service page,,,no,2026-09-08,
рекламный ролик спб,Google,SPb (gl=ru),9,https://uslugi.yandex.ru,uslugi.yandex.ru,marketplace,,,no,2026-09-08,
заказать рекламный ролик спб,Google,SPb (gl=ru),1,https://kurban.studio/reklama,kurban.studio,service page,,,no,2026-09-08,content benchmark - see SERP report §6
заказать рекламный ролик спб,Google,SPb (gl=ru),2,https://spb.seotemple.ru,spb.seotemple.ru,service page,"5,0 (28)",,no,2026-09-08,
заказать рекламный ролик спб,Google,SPb (gl=ru),3,https://profi.ru,profi.ru,marketplace,"4,9 (41)",,no,2026-09-08,
заказать рекламный ролик спб,Google,SPb (gl=ru),4,https://feelproduction.ru,feelproduction.ru,homepage,,,no,2026-09-08,
заказать рекламный ролик спб,Google,SPb (gl=ru),5,https://www.teplicaproduction.ru/videoreklama,teplicaproduction.ru,service page,,,no,2026-09-08,
заказать рекламный ролик спб,Google,SPb (gl=ru),6,https://www.brandvideo.ru,brandvideo.ru,homepage,,,no,2026-09-08,from 70000 RUB in title
заказать рекламный ролик спб,Google,SPb (gl=ru),7,https://spb.regtorg.ru,spb.regtorg.ru,directory,,,no,2026-09-08,from 100000 RUB
заказать рекламный ролик спб,Google,SPb (gl=ru),8,https://media-focus.ru,media-focus.ru,service page,,,no,2026-09-08,
заказать рекламный ролик спб,Google,SPb (gl=ru),9,https://studionumberone.ru,studionumberone.ru,service page,,,no,2026-09-08,
видеопродакшн москва,Google,Moscow (gl=ru),1,https://marketing-tech.ru/video-production/moskva,marketing-tech.ru,directory,,,no,2026-09-08,1990 companies
видеопродакшн москва,Google,Moscow (gl=ru),2,https://mosvideo.org,mosvideo.org,homepage,,,no,2026-09-08,seed competitor MOSKVA PRODUCTION confirmed
видеопродакшн москва,Google,Moscow (gl=ru),local pack,,VILKA,GBP local,"4,9 (11)",8 (495) 133-16-45,no,2026-09-08,Новодмитровская 5А с1
видеопродакшн москва,Google,Moscow (gl=ru),local pack,,MOSKVA PRODUCTION,GBP local,"4,8 (19)",8 (495) 432-60-18,no,2026-09-08,Трубная 28с1
видеопродакшн москва,Google,Moscow (gl=ru),local pack,,ВидеоЗаяц,GBP local,"4,7 (11)",8 (800) 500-06-31,no,2026-09-08,Мичуринский пр. 54
видеопродакшн москва,Google,Moscow (gl=ru),3,https://avastudio.ru,avastudio.ru,homepage,,,no,2026-09-08,
видеопродакшн москва,Google,Moscow (gl=ru),4,https://ratingruneta.ru/video/moscow,ratingruneta.ru,directory,"4,9 (663)",,no,2026-09-08,Top-33 Moscow studios 2025
видеопродакшн москва,Google,Moscow (gl=ru),5,https://hypepro.tv,hypepro.tv,homepage,,,no,2026-09-08,15 years / awards claim
видеопродакшн москва,Google,Moscow (gl=ru),6,https://secret-point.ru/services/video-production,secret-point.ru,service page,,,no,2026-09-08,
видеопродакшн москва,Google,Moscow (gl=ru),7,https://www.alladvertising.ru/tags,alladvertising.ru,directory,,,no,2026-09-08,Savage has a profile on this domain
видеопродакшн москва,Google,Moscow (gl=ru),8,https://2sides.pro,2sides.pro,homepage,,,no,2026-09-08,
видеопродакшн москва,Google,Moscow (gl=ru),9,https://inviteagency.com/services/Video,inviteagency.com,service page,,,no,2026-09-08,
видеопродакшн москва,Google,Moscow (gl=ru),10,https://profi.ru,profi.ru,marketplace,"5,0 (4)",,no,2026-09-08,
заказать рекламный ролик москва,Google,Moscow (gl=ru),1,https://avastudio.ru/uslugi/reklamny-rolik,avastudio.ru,service page,,,no,2026-09-08,dedicated commercial service URL
заказать рекламный ролик москва,Google,Moscow (gl=ru),2,https://profi.ru,profi.ru,marketplace,"4,9 (61)",,no,2026-09-08,from 4000 RUB
заказать рекламный ролик москва,Google,Moscow (gl=ru),3,https://www.vilkaservice.com/commercials,vilkaservice.com,service page,,,no,2026-09-08,
заказать рекламный ролик москва,Google,Moscow (gl=ru),4,https://weekend-production.ru,weekend-production.ru,homepage,,"+7 (499) 262-32-XX",no,2026-09-08,
заказать рекламный ролик москва,Google,Moscow (gl=ru),5,https://humanvideo.ru,humanvideo.ru,service page,"4,9 (34)",,no,2026-09-08,
заказать рекламный ролик москва,Google,Moscow (gl=ru),6,https://www.brandvideo.ru,brandvideo.ru,homepage,,,no,2026-09-08,
заказать рекламный ролик москва,Google,Moscow (gl=ru),7,https://kwork.ru/land/reklamniy-videorolik,kwork.ru,marketplace,,,no,2026-09-08,from 500 RUB
заказать рекламный ролик москва,Google,Moscow (gl=ru),8,https://ucanstudio.ru/promo-video-creatio,ucanstudio.ru,service page,,,no,2026-09-08,
заказать рекламный ролик москва,Google,Moscow (gl=ru),9,https://replay-video.ru/postanovochnaya-reklama,replay-video.ru,service page,,,no,2026-09-08,
видеопродакшн спб,Yandex,SPb (lr=2),ad,https://wowblogger.ru,wowblogger.ru,paid promo,,"+7 (969) 216-XX-XX",no,2026-09-08,5 paid blocks before first organic
видеопродакшн спб,Yandex,SPb (lr=2),ad,https://korsprod.ru,korsprod.ru,paid promo,,,no,2026-09-08,
видеопродакшн спб,Yandex,SPb (lr=2),ad,https://ideafixpro.ru,ideafixpro.ru,paid promo,,"+7 (495) 275-XX-XX",no,2026-09-08,Start 180000 / PRO 325000 RUB
видеопродакшн спб,Yandex,SPb (lr=2),1,https://brandvideo.ru/крутые-ролики,brandvideo.ru,service page,"5,0 (11)","+7 (921) 325-XX-XX",no,2026-09-08,
видеопродакшн спб,Yandex,SPb (lr=2),2,https://brandvideo.ru/примеры-наших-работ,brandvideo.ru,portfolio,"5,0 (11)",,no,2026-09-08,
видеопродакшн спб,Yandex,SPb (lr=2),3,https://madmen-production.ru,madmen-production.ru,homepage,"5,0 (11)","+7 (952) 371-XX-XX",no,2026-09-08,
видеопродакшн спб,Yandex,SPb (lr=2),4,https://studionumberone.ru,studionumberone.ru,homepage,"5,0 (39)","+7 (911) 745-XX-XX",no,2026-09-08,highest review count observed
видеопродакшн спб,Yandex,SPb (lr=2),5,https://stoletproduction.ru,stoletproduction.ru,homepage,,"+7 (911) 169-XX-XX",no,2026-09-08,
видеопродакшн спб,Yandex,SPb (lr=2),6,https://avito.ru/sankt-peterburg/predlozheniya_uslug,avito.ru,marketplace,,,no,2026-09-08,465 listings
видеопродакшн спб,Yandex,SPb (lr=2),7,https://yandex.ru/maps/2/saint-petersburg/search/,yandex.ru,maps,,,no,2026-09-08,Yandex Maps ranks organically
заказать рекламный ролик спб,Yandex,SPb (lr=2),specialists block,,Данила Аникеев,Yandex Ispolniteli,"5,0 (50)",,no,2026-09-08,from 1990 RUB
заказать рекламный ролик спб,Yandex,SPb (lr=2),specialists block,,Brand&Video,Yandex Business,"4,6 (10)",,no,2026-09-08,50000 RUB
заказать рекламный ролик спб,Yandex,SPb (lr=2),specialists block,,Андрей Вернер,Yandex Ispolniteli,"5,0 (48)",,no,2026-09-08,from 15000 RUB
заказать рекламный ролик спб,Yandex,SPb (lr=2),specialists block,,Хвалите Quality,Yandex Business,"4,9 (23)",,no,2026-09-08,AI video production studio
